CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
15-1-011057,-12.56358771,144.8829649,-12.56352521,144.882813,10.96811319,0.216295298,11.17515252,10.74569702,0.274558136,1.039965346,109.9698301,0.000537875,0.000591856,0.078708779,0.073454948,9.608938207,0.033053546,0.010207255,0.86822206,60,,,,,,CpxFF,,Floor Deposits,,,1,1,1
08-1-007221,-58.34971401,356.8052618,-58.34997707,356.8057045,22.29771748,0.449465342,22.94074231,21.42970576,0.356924965,1.070511307,78.55727562,0.00060967,0.001263426,0.087163609,0.096965525,2.881811036,0.014444986,0.006325106,1,188,,Rd,,,,CpxCPk,,Slump Deposits / Floor Deposits,,,2,2,2
06-1-014240,7.370420287,317.5035699,7.370367229,317.5036942,13.90006949,0.246165967,14.11888734,13.67053521,0.250005122,1.03279697,26.00643389,0.000499637,0.000523819,0.076187381,0.071353041,7.715501914,0.028152127,0.007753629,0.97500598,77,,Rd,,,There may be a cohesive lobe within the Rd ejecta.,CpxCPt,Terraced,,,,3,2,4
04-1-012061,-69.46519566,180.4648012,-69.45752303,180.4868727,41.97594173,1.421097306,44.77821255,37.80015127,0.536085145,1.184604057,144.3302987,0.001428014,0.004206067,0.206889831,0.229929522,1.308307278,0.01015385,0.009048657,0.84085256,223,,,,,,CpxFF,,Dunes / Floor Deposits,,,1,1,1
10-1-004884,30.17756475,65.83694862,30.17768243,65.83713429,11.33803589,0.411404013,12.36287079,10.25355338,0.558680623,1.205715749,65.48163121,0.000497243,0.00054601,0.073481586,0.067980841,1.531821187,0.010963289,0.01073592,0.96000099,69,,,,,,CpxFF,,Floor Deposits,,,1,1,1
11-0-002369,-28.52733829,41.82816308,-28.5272699,41.82837962,17.02619598,0.304910081,17.30777254,16.7085104,0.26086191,1.035865683,65.57378375,0.000591342,0.000672489,0.087537434,0.084570401,6.653023588,0.025563137,0.007411996,0.95839363,106,,,,,,CpxFF,,Floor Deposits,,,1,1,1
07-0-000117,-1.47328477,359.9527415,-1.473231939,359.9527222,28.39193388,0.31789468,28.60433243,28.16120003,0.175338503,1.015735565,95.17966468,0.000422572,0.000415414,0.061102528,0.060027309,6.453929863,0.016681666,0.003065199,1,171,,,,,,CpxFF,,,,,2,1,1
07-1-018905,-29.01173547,274.4948136,-29.01183672,274.494781,16.37845965,0.237192662,16.53846658,16.19948939,0.201426118,1.020925178,146.0224782,0.000489374,0.000588644,0.074943464,0.070361771,10.07676414,0.029898078,0.00640827,1,104,2,Rd/DLEPS,HuAm,,,CpxCPt,Terraced,,,,3,2,3
02-1-005577,13.71632975,190.0819605,13.7162544,190.0819878,12.93963899,0.290095267,13.48521201,12.40681852,0.391844636,1.086919422,46.56878567,0.000518374,0.000535736,0.078955134,0.070561424,3.286073623,0.017632454,0.008871942,0.87505382,63,2,DLERS,SmSL,,,CpxSuPt,Terraced,,,,3,2,3
07-1-024342,-37.05341006,292.971491,-37.05382927,292.9695187,25.45385542,0.535350538,26.43698738,24.69100622,0.357385714,1.070713244,177.5837313,0.000755715,0.001217122,0.147225507,0.109427573,3.194880258,0.017371017,0.007620473,0.89607519,154,,Rd,,,,CpxFF,,Slump Deposits / Floor Deposits,,,1,2,2
14-1-000516,40.74987125,160.8540012,40.75000686,160.8543046,10.14888677,0.227775223,10.36815419,9.949758411,0.281210637,1.042050848,33.83813972,0.000435329,0.000720324,0.07754937,0.063646288,8.117164579,0.032230616,0.010255742,0.87085539,62,,,,,,CpxFF,,Floor Deposits,,,2,1,1
05-4-002453,46.5366423,333.2557252,46.53674355,333.255353,15.67274236,0.40654791,16.25885146,15.01402097,0.383750657,1.0829112,26.79642873,0.000417359,0.000625034,0.061365569,0.060606452,2.330895312,0.012280005,0.005984477,1,200,,,,,,,,,,,,,
15-1-001350,-3.029199606,128.5532309,-3.029178787,128.553285,11.60131953,0.236693771,12.05014536,11.14397014,0.38045449,1.081315295,140.0698757,0.00039339,0.000397877,0.058908789,0.055881548,2.949746808,0.015742942,0.007572611,1,68,1,SLERS,HuBL,,,CpxCPk,Terraced,Slump Deposits / Floor Deposits,,,3,2,2
10-0-009005,25.6932292,55.4726511,25.69302802,55.47370492,53.03650741,1.483514395,56.07644508,49.6873471,0.463561978,1.128586016,111.1330412,0.001408528,0.001494197,0.20350766,0.194419531,1.46137686,0.009038571,0.006022982,0.99012554,335,,Rd,,,,CpxCPk,Terraced,Slump Deposits / Floor Deposits,,,2,2,2
04-1-002206,-47.10680242,250.548798,-47.10572211,250.5504335,34.99681733,0.490825412,35.23797427,34.9112406,0.135861818,1.009358982,41.3335038,0.002359986,0.003336901,0.427178286,0.110755066,24.14999785,0.090530282,0.012648186,0.68591148,163,,,,,,CpxFF,,Tectonics / Floor Deposits,,,1,1,1
