CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
07-1-018851,-27.494057,276.28488,-27.494095,276.2849,2.4989815,0.19575872,3.0459802,1.9767501,0.7608139,1.540903,79.54594,0.000376499,0.000320713,0.055597387,0.041824434,1.9451412,0.015468536,0.043057963,1.0,17.0,,,,,,,,,,,,,
11-4-021726,-21.539772,12.818814,-21.53979,12.81883,1.3462304,0.01856398,1.3830492,1.3095522,0.32164994,1.0561239,68.680016,0.0000745,0.0000751,0.010935437,0.010404306,6.4842863,0.031242713,0.011837958,1.0,15.0,,,,,,,,,,,,,
11-1-013061,-27.918882,14.677181,-27.91889,14.677219,1.3009529,0.02599567,1.3448263,1.2530318,0.36311954,1.0732578,71.62509,0.000250524,0.000293074,0.038723618,0.036600616,18.014826,0.09806126,0.04402094,1.0,10.0,,,,,,,,,,,,,
15-1-018253,-18.534842,163.48509,-18.544605,163.5008,14.784403,0.2770509,14.494852,12.406073,0.51714957,1.1683676,54.682667,0.001604008,0.003145221,0.10610063,0.42355224,3.1748736,0.049460314,0.040795434,0.62933415,47.0,,,,,,CpxUnc,,Floor Deposits,,,1,1,1
06-0-000887,24.968836,353.781,24.96884,353.78104,2.0415947,0.049743824,2.1030154,1.9716344,0.34791178,1.0666356,95.18853,0.000260273,0.000283655,0.039257903,0.038531955,12.593417,0.06827811,0.028826961,1.0,15.0,,,,,,,,,,,,,
03-1-003732,-10.139848,201.60574,-10.139713,201.60576,1.1564331,0.06461396,1.2185588,1.0732523,0.47357142,1.135389,164.71379,0.000673285,0.000800582,0.11183197,0.099670865,32.883217,0.21386924,0.14824083,1.0,8.0,,,,,,,,,,,,,
06-4-017397,18.050255,323.71185,18.050226,323.7118,1.1136291,0.04508562,1.1631554,1.0621613,0.40757388,1.0950837,112.1298,0.000219781,0.000217573,0.03225923,0.028473785,14.578294,0.078917794,0.04223993,1.0,15.0,,,,,,,,,,,,,
06-1-006145,28.25063,279.83215,28.250618,279.8321,8.203024,0.13385773,8.363942,8.01121,0.2873454,1.0440298,88.32241,0.000288669,0.000341209,0.040874112,0.043538254,5.7989097,0.02333528,0.007630553,0.9110794,47.0,1,Rd/SLEPS,HuBL,,,CpxCPt,,Floor Deposits,,,3,2,3
06-0-001445,20.104591,347.68015,20.104622,347.68024,3.4300904,0.05943303,3.5138729,3.3373399,0.31297565,1.0528963,175.64035,0.000180535,0.000192249,0.025838124,0.026080232,7.0440054,0.030926323,0.011297845,1.0,23.0,,,,,,,,,,,,,
11-2-004404,-23.780851,6.568134,-23.780735,6.568251,1.5834426,0.043865412,1.6486601,1.4879549,0.4306401,1.1080041,69.92996,0.000308851,0.000345938,0.04081803,0.04588855,14.240935,0.07480529,0.04381985,1.0,12.0,,,,,,Smp,,,,,,,
11-4-012345,-12.580568,17.155674,-12.580543,17.155615,1.1757596,0.027130786,1.232731,1.1176367,0.42191646,1.10298,136.49109,0.000131604,0.000131769,0.01946325,0.017775677,7.793824,0.043661166,0.02471865,1.0,14.0,,,,,,,,,,,,,
